code	gruppe	geschl	gebjahr	alter	abi	kinder	job	berlin	wohnort.alt	uni1	uni2	uni3	uni4	uni5	uni6	uni7	uni8	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim8	stim9	stim10	stim11	stim12	lz13	lz14	lz15	lz16	lz17	prok	extra	vertraeg	gewiss	neuro	intell	gs.1	gs.2	wm.1	wm.2	ru.1	ru.2	lz.1	lz.2	zuf.inh.1	zuf.inh.2	zuf.bed.1	zuf.bed.2	zuf.bel.1	zuf.bel.2
93	4	1	1987	21	2007	2	1	1	3	0	1	1	1	1	1	0	1	4	3	2	2	2	3	3	4	2	4	2	4	6	6	6	5	5	2.6	3.75	3.75	3.25	3.25	3.75	4	4.25	3.5	3.5	3.75	3.75	28	27	3	3.33333333333333	3	2.66666666666667	3.33333333333333	3
94	2	2	1985	23	2007	2	2	1	3	0	1	0	0	1	0	0	0	3	4	2	2	1	3	2	4	1	2	1	3	4	5	4	3	3	2.5	3	4	3	4.25	2.75	4	-9	3.75	-9	3.75	-9	19	-9	3.33333333333333	-9	3	-9	1.33333333333333	-9
95	2	2	1988	20	2007	2	2	1	2	0	1	1	1	1	1	0	0	3	2	4	2	4	4	4	4	4	2	2	4	5	5	5	6	4	2.7	3.25	4.25	2	3.75	3.5	3.75	4	2	3.25	3	2	25	17	4	3.66666666666667	4	2	3	3
96	4	1	1987	21	2006	2	2	1	3	1	1	0	1	1	1	1	1	2	4	3	3	2	3	3	4	4	4	2	3	4	5	3	4	4	3	4.5	4	3	3.25	3	3.25	-9	3.75	-9	2.75	-9	20	-9	3	-9	3	-9	2.66666666666667	-9
97	3	1	1980	28	2000	2	1	1	3	0	1	0	1	1	1	0	0	4	2	2	2	4	3	3	4	2	3	1	3	6	5	6	7	7	2.4	4.75	4.25	4	4.5	4.25	4.25	-9	2.5	-9	3.5	-9	31	-9	4	-9	2.33333333333333	-9	1.66666666666667	-9
98	4	1	1986	22	2005	2	1	1	-9	1	1	1	1	1	1	1	1	3	3	3	2	2	4	2	3	3	3	2	3	3	3	4	4	2	2.3	4.25	3	3.75	4	3.25	3.5	-9	3.5	-9	3.25	-9	16	-9	1.66666666666667	-9	2.66666666666667	-9	2.33333333333333	-9
99	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	3	2	2	2	4	4	4	1	3	2	3	6	5	5	6	6	-9	4	4	3.5	3	3	4	4.25	3	4	4	3.5	28	31	-9	3.33333333333333	-9	3.33333333333333	-9	3.66666666666667
100	2	-9	1970	38	1989	1	2	1	3	1	1	1	1	0	1	0	0	3	2	3	2	3	4	3	3	4	2	2	3	4	4	5	4	2	3.3	3.5	3	3.25	4.25	4	3.5	-9	2.5	-9	3	-9	19	-9	4	-9	4	-9	2.33333333333333	-9
101	4	1	1988	20	2007	2	2	1	1	0	1	1	1	1	1	1	0	4	3	3	2	4	2	2	4	2	4	2	3	5	4	6	6	4	2.3	4	3.25	3.25	2.75	3.75	4	3.5	3.25	3.5	3	2.75	25	27	3	3	3.33333333333333	3.33333333333333	3	3
102	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	5	4	2	1	1	3	2	5	1	5	1	4	7	7	7	7	7	-9	4.5	4	4.25	3	3.75	5	-9	4.5	-9	4	-9	35	-9	-9	-9	-9	-9	-9	-9
103	4	1	1981	27	1999	2	2	1	4	0	1	1	1	1	1	0	1	4	4	2	2	3	3	3	4	2	3	1	4	7	6	6	7	5	2.6	3.75	4	4.25	3.5	3.5	4.25	4.25	3.25	3.75	3.75	3.75	31	32	3.33333333333333	3.33333333333333	4	3.66666666666667	2.66666666666667	3
104	1	1	1989	19	2008	2	2	1	2	0	0	1	0	1	1	1	0	2	2	3	3	2	2	4	3	1	2	1	4	5	6	6	7	6	2.3	3.25	3.75	4	3	3.25	3.25	-9	2.5	-9	3.5	-9	30	-9	3.66666666666667	-9	3.66666666666667	-9	3	-9
105	1	1	1987	21	2007	2	2	1	2	1	1	1	0	1	1	0	0	4	3	3	1	3	3	2	4	4	4	1	3	4	6	5	5	6	2.5	3	3.75	3.75	3.75	2.5	4.5	-9	3.5	-9	2.75	-9	26	-9	2.66666666666667	-9	1.66666666666667	-9	2.66666666666667	-9
106	2	1	1979	29	1997	1	2	1	3	1	0	1	1	1	1	0	0	4	1	3	2	4	3	5	4	3	2	1	3	5	6	6	6	4	2.9	4.5	4	3	3.75	3.75	4.25	4	1.5	2	3	3.75	27	24	3.33333333333333	3	1.66666666666667	2	2	1.66666666666667
107	3	1	1989	19	2008	2	1	1	3	1	1	0	0	1	0	0	1	4	2	2	2	4	3	4	3	3	2	1	3	5	6	6	6	5	2.3	3.75	4	3.75	3.75	3.75	4	-9	2	-9	3.25	-9	28	-9	3.33333333333333	-9	3.66666666666667	-9	3.66666666666667	-9
108	2	2	1983	25	2005	2	2	1	-9	-9	1	-9	0	0	1	1	1	3	4	2	1	2	5	2	4	3	3	2	4	3	3	2	5	2	1.7	3.75	3.75	4.75	4	4.25	4	-9	3.75	-9	4	-9	15	-9	3.66666666666667	-9	3.33333333333333	-9	3.66666666666667	-9
109	1	1	1982	26	2008	2	1	1	3	0	0	1	0	1	1	0	0	4	3	4	1	2	2	4	4	3	2	2	2	6	4	5	6	5	2	2.5	3.25	4.75	4.75	3.5	4.25	4.25	2.75	2.5	2.25	2	26	27	3.33333333333333	2.66666666666667	3.33333333333333	2.33333333333333	2.66666666666667	2.33333333333333
110	2	1	1985	23	2008	2	2	1	1	0	1	1	1	1	0	0	0	3	1	3	4	4	3	5	2	1	2	2	2	4	5	5	4	5	2.7	3.75	4.5	3.5	3.75	3.75	2.75	-9	1.5	-9	3.25	-9	23	-9	3.33333333333333	-9	3.33333333333333	-9	2.66666666666667	-9
111	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	4	3	1	2	4	2	3	2	4	3	4	2	2	6	2	1	-9	3.75	4.5	3.75	2.25	3.25	3.25	-9	4	-9	3.75	-9	13	-9	-9	-9	-9	-9	-9	-9
112	1	2	1986	22	2006	2	2	1	3	1	1	1	1	1	1	0	0	4	3	1	1	2	3	4	3	1	3	1	3	4	5	6	5	4	1.8	3.75	4.5	2.5	2.5	5	4.25	-9	3	-9	4	-9	24	-9	4	-9	1.33333333333333	-9	3	-9
113	1	1	1989	19	2007	2	2	1	4	0	1	1	1	1	1	0	0	4	2	3	2	3	4	2	4	3	4	2	4	5	6	6	6	4	3	3.5	3.25	1.75	4	3.25	4	-9	3.25	-9	3.5	-9	27	-9	3.33333333333333	-9	3.33333333333333	-9	3	-9
114	1	1	1988	20	2008	2	2	1	-9	-9	1	1	1	1	1	1	1	4	3	1	2	3	4	3	3	2	3	2	3	6	4	6	6	7	2.5	3	4	3.25	2.5	3	3.75	3.75	3	3.5	4	3.5	29	27	3	3	4	3	2.66666666666667	2.66666666666667
115	1	1	1981	27	2000	2	2	1	-9	0	1	0	1	1	1	1	0	5	3	3	1	3	4	4	5	3	3	1	4	6	7	7	7	7	1.3	3.75	2.75	5	2.25	4.5	5	-9	2.75	-9	3.5	-9	34	-9	4	-9	2.33333333333333	-9	2.33333333333333	-9
116	1	1	1988	20	2008	2	2	-9	2	1	1	1	1	1	1	0	1	4	3	4	2	2	4	3	4	2	3	2	4	6	5	6	7	7	1.8	4.25	4.75	5	3	4	4	3.5	3.25	2.75	3.5	2.75	31	25	3	3.33333333333333	3	2	3.33333333333333	3
117	3	1	1979	29	2008	2	1	1	3	1	1	0	1	1	1	0	0	3	3	1	1	3	4	2	4	1	3	1	4	5	5	5	5	3	2.4	4	3.5	4	4.25	3	4.25	4.5	3.25	3.75	4.5	4	23	29	3.66666666666667	3	2	1.33333333333333	3	2.33333333333333
118	3	2	1973	35	1993	2	1	1	3	1	1	0	1	1	1	0	0	2	2	4	3	4	2	4	2	4	2	4	1	2	4	2	2	2	2.8	2.5	3.25	3.5	3.5	2.75	2.25	-9	2	-9	1.75	-9	12	-9	2	-9	2	-9	2	-9
119	1	1	1991	17	-9	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	4	1	2	3	3	2	3	2	3	3	3	3	3	4	4	4	2.9	2.75	3.25	2	3.5	3	3.25	-9	3.5	-9	3.75	-9	18	-9	-9	-9	-9	-9	-9	-9
120	4	1	1987	21	2007	2	2	1	3	1	1	0	0	1	0	0	0	3	2	3	2	3	3	3	4	1	3	2	3	5	6	7	5	4	2.4	4.5	3.75	4	3.75	3	3.75	-9	2.75	-9	3.5	-9	27	-9	3.33333333333333	-9	2.66666666666667	-9	3	-9
121	1	1	1987	21	2007	2	2	1	1	0	0	1	1	1	0	0	1	4	4	2	1	2	3	1	4	3	4	2	3	6	6	7	7	5	1.9	4	4.5	4.75	4.25	4	4.25	3.75	4.25	3.75	3.25	3.5	31	32	4	1.33333333333333	2.33333333333333	1.66666666666667	3	2.66666666666667
122	4	1	1981	27	2000	2	1	1	3	1	1	1	0	1	1	1	1	5	3	3	1	1	3	3	5	3	3	1	2	6	5	7	6	6	1.3	2.25	4	5	2.5	3.75	5	-9	3.5	-9	2.75	-9	30	-9	4	-9	3	-9	3.33333333333333	-9
123	1	1	1984	24	2003	2	2	1	2	1	1	0	1	1	1	1	1	4	4	2	1	1	3	1	5	2	4	1	3	6	5	6	6	5	1.9	3.5	4	4.25	3.25	4	4.75	-9	4.5	-9	3.5	-9	28	-9	4	-9	1.66666666666667	-9	3.66666666666667	-9
124	4	1	1975	33	1994	2	1	1	-9	1	0	1	0	0	0	-9	-9	4	3	2	2	4	2	4	3	4	2	3	2	5	5	5	5	4	3	3.25	3.75	4	3.75	4	3.5	-9	2.25	-9	2.5	-9	24	-9	3	-9	2.66666666666667	-9	2	-9
125	2	1	1988	20	2007	2	1	1	4	0	1	1	1	1	1	1	0	4	2	4	2	3	4	3	4	3	3	2	3	5	6	6	4	5	2.8	4.25	3.25	3.25	3.75	3.75	4	4.5	2.75	4.5	3	2.75	26	26	3	3	2.66666666666667	2.66666666666667	3	3.66666666666667
126	4	2	1974	34	1994	2	1	1	-9	-9	0	1	1	0	1	0	0	4	3	2	2	2	4	2	4	2	4	2	4	6	5	6	6	5	2.5	3	4	4	2.75	4	4	-9	3.75	-9	4	-9	28	-9	3	-9	3	-9	2.66666666666667	-9
127	3	1	1969	39	1988	1	1	1	2	-9	-9	-9	-9	-9	-9	-9	-9	4	2	2	2	2	3	4	3	4	2	2	3	5	2	3	4	5	3.4	4	4	2	4	3.75	3.75	-9	2.5	-9	3	-9	19	-9	3.66666666666667	-9	3.33333333333333	-9	2.33333333333333	-9
128	2	1	1989	19	2008	2	1	1	2	0	1	1	1	1	1	0	1	3	3	3	2	2	4	4	4	2	2	3	3	5	6	6	6	7	2.4	3.5	3.5	4	4	4	3.5	-9	2.75	-9	3.5	-9	30	-9	4	-9	3	-9	3	-9
129	1	2	1980	28	2004	2	1	1	3	0	0	0	0	0	0	0	0	4	3	3	2	2	4	3	4	3	4	2	2	4	5	5	4	3	3.1	2.75	1	2.25	2	2.25	4	-9	3.5	-9	3	-9	21	-9	3	-9	3	-9	1.33333333333333	-9
130	2	2	1987	21	2006	2	2	1	4	1	1	1	1	1	1	0	0	3	2	3	2	3	4	3	4	3	4	2	2	5	6	6	6	6	3	3.5	4.5	3.25	3.5	3.75	3.75	-9	3	-9	3	-9	29	-9	3	-9	3.66666666666667	-9	2.66666666666667	-9
131	1	1	1985	23	2005	2	2	1	4	0	1	1	1	1	0	0	0	3	2	4	2	2	4	3	4	4	4	2	3	4	5	5	6	5	3	3.75	5	2.75	3.25	2.5	3.75	-9	3.25	-9	2.75	-9	25	-9	3	-9	2.66666666666667	-9	2.66666666666667	-9
132	1	1	1982	26	2001	2	1	2	1	1	1	1	1	0	0	1	0	2	4	4	2	2	2	1	2	2	3	3	2	4	3	4	5	4	3.2	3	3.5	2.25	3.75	4	2.75	-9	4	-9	2.5	-9	20	-9	3.33333333333333	-9	2	-9	3.33333333333333	-9
133	1	1	1964	44	1985	1	2	2	2	-9	-9	-9	-9	-9	-9	-9	-9	4	4	1	1	1	4	2	4	1	4	1	4	6	6	6	6	5	1.8	3	-9	3.75	2.75	3	4.5	-9	4.25	-9	4.5	-9	29	-9	3	-9	3.33333333333333	-9	3.66666666666667	-9
134	1	2	1988	20	2007	2	2	2	2	0	1	1	1	1	1	0	0	3	4	1	1	2	4	2	3	1	2	1	3	5	7	6	5	7	2.3	3	4.75	3.75	2	3.5	4	4.5	3.5	3.25	4.25	4	30	31	3	3	3.33333333333333	2.66666666666667	3.33333333333333	3.66666666666667
135	2	2	1986	22	2007	2	1	1	2	0	0	1	0	1	1	0	0	3	2	3	2	2	5	4	3	4	4	1	4	6	5	6	3	1	2.3	3.75	3	2.75	3.25	3.75	3.75	-9	3	-9	3.5	-9	21	-9	4	-9	3	-9	2	-9
136	2	2	1986	22	2006	2	2	1	3	1	1	1	1	1	1	0	0	5	4	2	1	2	3	2	4	2	4	2	3	6	6	6	4	5	2.2	3.75	3.5	4	3.25	3.25	4.5	-9	4	-9	3.5	-9	27	-9	3	-9	3	-9	3	-9
137	2	2	1988	20	2007	2	2	1	3	1	1	1	0	1	1	0	1	4	3	2	1	3	4	2	4	2	3	1	2	4	6	7	6	4	1.7	3.25	3.5	4.25	3.75	3	4.5	-9	3.25	-9	3.5	-9	27	-9	4	-9	2.33333333333333	-9	3	-9
138	4	2	1981	27	2001	2	1	1	3	0	1	0	1	1	1	1	0	4	2	2	2	4	4	4	4	2	2	2	4	4	7	6	6	2	2.8	3.25	4	2	4	3	4	-9	2	-9	4	-9	25	-9	3.33333333333333	-9	1.33333333333333	-9	3	-9
139	1	2	1987	21	2007	2	2	2	1	0	1	1	1	1	1	0	0	4	2	3	2	3	2	4	4	4	3	1	3	6	4	5	6	4	2.3	5	4.5	4.75	4.75	4	4.25	3.5	2.5	2.25	2.5	2	25	25	3.66666666666667	3	2.66666666666667	1.66666666666667	3	1.66666666666667
140	4	1	1975	33	1997	2	2	1	4	0	1	0	0	1	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2.33333333333333	-9	2	-9	1.33333333333333	-9
141	4	1	1975	33	1997	2	2	1	4	0	1	0	0	1	1	0	0	2	2	4	2	1	1	2	3	2	3	3	1	3	4	5	6	4	2	3.5	3.5	3.75	3	3.5	3	2.75	3.5	2.75	2	2.75	22	28	2.33333333333333	3	2	2	1.33333333333333	2
142	3	1	1988	20	2008	2	1	2	2	1	1	0	0	1	1	0	0	3	1	4	2	4	4	5	3	2	2	2	3	4	3	4	5	5	2.6	3.75	4.5	2.75	3.25	3.5	3.5	4.25	1.5	3	3.25	4	21	21	3.66666666666667	3	2.66666666666667	1.66666666666667	3	1.66666666666667
143	3	2	1989	19	2008	2	1	1	2	0	1	1	1	1	1	1	0	4	4	1	1	2	4	2	4	1	3	1	4	6	7	6	5	3	2.2	3	4.5	3.25	2.5	3.75	4.5	4.25	3.75	4	4.5	4	27	27	3.33333333333333	3	3	2.66666666666667	3.66666666666667	3
144	4	1	1982	26	2006	2	1	1	3	1	1	1	1	1	1	1	0	5	4	1	1	2	2	3	4	1	4	1	4	4	4	6	6	4	2.7	4	4.75	3.75	3.75	4.5	4.75	-9	3.75	-9	4	-9	24	-9	3.33333333333333	-9	2.66666666666667	-9	2.33333333333333	-9
145	2	1	1976	32	1996	2	1	1	3	0	0	0	1	0	1	0	0	3	2	4	1	4	3	3	3	3	3	2	3	6	6	6	5	4	2.3	3	4.75	3.75	2.75	4	3.75	-9	2.5	-9	2.75	-9	27	-9	3	-9	2.66666666666667	-9	2	-9
146	2	2	1981	27	2001	2	2	2	2	0	0	0	1	1	0	0	1	3	2	4	1	1	2	2	3	3	4	1	3	4	3	6	3	1	2.8	4.5	4.25	2.25	2.5	4	4	-9	3.75	-9	2.5	-9	17	-9	4	-9	1.33333333333333	-9	3	-9
147	2	1	1989	19	2008	2	1	1	3	0	0	1	0	1	0	0	0	3	3	2	2	2	4	2	4	1	3	2	3	4	6	5	4	2	2.5	3	3.75	3.5	3.5	3.75	3.75	4	3.5	2.25	4	3.5	21	22	3	3	3.66666666666667	3	2.66666666666667	3
148	2	1	1983	25	2003	2	1	2	2	0	1	1	1	0	0	0	0	2	2	4	1	3	2	3	3	4	3	2	2	6	7	6	6	2	1.8	3	3.75	4	3.5	3.75	3.5	3.75	2.75	3.25	2	2.75	27	30	3	4	2.66666666666667	3	3	3
149	3	1	1983	25	2003	2	1	2	2	0	0	0	0	0	0	1	1	3	2	4	2	2	2	2	4	4	4	2	2	5	5	4	4	5	1.9	3.5	4	4.25	3.75	4	3.75	-9	3.5	-9	2	-9	23	-9	3.33333333333333	-9	3	-9	3	-9
150	3	2	1980	28	1999	2	1	1	1	0	1	0	1	1	1	0	0	5	4	2	2	2	3	2	5	2	5	2	4	6	7	7	6	4	2.3	4.25	3.75	4	3.25	3.25	4.5	-9	4.25	-9	3.75	-9	30	-9	3	-9	2	-9	1.66666666666667	-9
151	4	1	1978	30	2008	1	2	1	3	1	1	1	1	1	0	0	0	3	2	2	3	4	3	4	4	3	2	2	3	5	4	5	4	3	3.4	2.5	3.25	4.25	4.75	5	3.5	-9	2	-9	3.25	-9	21	-9	1.33333333333333	-9	2	-9	3	-9
152	4	1	1989	19	2008	2	1	1	3	0	1	1	1	1	1	0	0	4	3	2	2	3	3	2	4	1	4	2	4	6	7	6	6	6	2.1	3	4.25	4	2.5	3.75	4	4.5	3.5	4.25	4	4	31	31	3.33333333333333	4	3.33333333333333	2.66666666666667	2	2
153	1	1	1985	23	2004	1	1	1	3	1	1	0	1	1	1	0	1	4	2	5	3	2	2	2	3	3	2	2	3	4	5	6	5	5	3.3	3.25	3	4	-9	4.5	3.5	-9	3	-9	2.25	-9	25	-9	2.66666666666667	-9	3	-9	1	-9
154	3	1	1981	27	2000	2	1	1	3	1	1	0	1	1	1	0	0	1	1	2	3	3	2	4	2	4	1	4	2	1	2	2	4	3	2.4	3.75	3.5	4	4.75	4	2	-9	1.75	-9	2.5	-9	12	-9	4	-9	3.33333333333333	-9	1	-9
155	4	1	1986	22	2006	2	1	1	3	0	1	1	1	1	1	0	0	4	1	4	2	4	4	2	4	2	4	3	2	3	3	4	3	2	3.4	4.25	4.5	3.25	3	3.75	3.75	-9	2.75	-9	3	-9	15	-9	3.33333333333333	-9	3.33333333333333	-9	2	-9
156	3	2	1987	21	2009	2	2	1	3	0	1	0	0	0	1	0	0	4	5	2	2	3	4	4	4	2	4	2	4	3	4	5	5	4	2	4.25	4.5	4.25	2	3.25	4	-9	3.5	-9	4	-9	21	-9	2.33333333333333	-9	3	-9	1.66666666666667	-9
157	1	1	1981	27	2000	2	1	1	3	1	1	1	1	1	1	1	1	4	3	2	1	3	5	3	4	1	3	1	3	6	6	7	5	7	2.4	2.75	3.75	3.5	2	3.75	4.5	-9	3	-9	4.25	-9	31	-9	-9	-9	1.33333333333333	-9	4	-9
158	3	1	1981	27	2000	2	1	1	3	1	1	1	1	1	1	1	1	4	5	2	2	3	4	4	4	2	4	2	4	3	4	5	5	4	2.4	4.25	4.5	4.25	2	3.25	4	-9	3.5	-9	4	-9	21	-9	-9	-9	1.33333333333333	-9	4	-9
159	3	2	1979	29	1999	1	2	1	3	0	1	0	1	1	0	0	0	4	3	2	1	3	4	3	4	2	3	2	3	5	4	5	4	6	2.6	3	3.5	3.5	3.5	3	4.25	-9	3	-9	3.75	-9	24	-9	3	-9	3	-9	2.66666666666667	-9
160	3	2	1971	37	1990	2	2	1	3	0	1	0	1	1	0	0	0	2	1	5	3	4	2	5	3	4	2	3	1	3	3	3	6	4	2.5	3.75	4.5	5	3	4.25	2.75	-9	1.5	-9	1.5	-9	19	-9	3	-9	2.66666666666667	-9	2.33333333333333	-9
161	3	1	1953	55	1971	1	1	1	3	0	1	1	1	1	1	0	0	4	3	3	3	3	3	3	3	3	5	2	4	4	5	5	5	3	1	4.75	5	5	2.25	5	3.5	-9	3.5	-9	3.25	-9	22	-9	4	-9	3	-9	3.66666666666667	-9
162	2	2	1975	33	1997	1	1	1	3	1	1	1	1	1	1	1	1	4	1	3	2	2	3	5	3	3	2	3	3	6	5	5	6	6	1.9	4.25	3.75	3	4	3	3.5	-9	2	-9	3	-9	28	-9	3	-9	2.66666666666667	-9	2.66666666666667	-9
163	4	-9	1986	22	-9	2	1	-9	-9	1	1	1	1	0	1	1	-9	5	3	2	1	2	4	3	4	2	4	1	4	6	6	6	5	6	2.4	3	4	3.75	2.5	3.5	4.75	-9	3.5	-9	4	-9	29	-9	3.33333333333333	-9	3	-9	3.33333333333333	-9
164	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	5	4	2	1	3	4	4	4	2	4	1	4	7	6	7	7	7	-9	3.75	4	4	2.5	4	4.75	-9	3.25	-9	4	-9	34	-9	-9	-9	-9	-9	-9	-9
165	4	-9	1986	22	-9	2	1	-9	-9	1	1	1	1	1	0	1	-9	5	3	3	1	2	5	2	5	2	4	1	4	7	6	6	7	7	1.7	3.75	3.5	3.75	2.25	4	5	4.25	3.75	1.5	4	3.5	33	33	4	3.66666666666667	3.66666666666667	4	3	3.33333333333333
166	2	1	1989	19	2008	2	1	1	1	0	0	1	1	1	1	0	1	4	2	4	2	2	3	2	4	3	3	2	2	6	6	6	7	6	1.7	3.25	3	4	3	3.5	4	-9	3.25	-9	2.5	-9	31	-9	4	-9	3	-9	2.66666666666667	-9
167	3	1	1981	27	2000	1	2	1	3	0	1	1	1	1	0	0	0	4	3	2	2	2	4	3	4	2	3	1	4	6	5	7	4	5	2.2	3.75	4.75	4	3.75	3.75	4.25	-9	3.25	-9	4	-9	27	-9	3.66666666666667	-9	3	-9	2.33333333333333	-9
168	1	1	1971	37	1990	1	2	1	3	0	1	1	1	0	1	0	0	4	2	4	2	2	4	3	4	4	2	1	2	6	6	7	5	6	2.6	3	3.75	2.75	3.5	2.75	4.25	2.75	2.75	2.5	2.5	2	30	27	3	2	2.66666666666667	2.66666666666667	2.33333333333333	1.33333333333333
169	3	2	1980	28	1999	2	1	2	3	1	1	1	0	0	1	1	0	4	4	1	1	1	4	2	4	2	3	1	4	6	6	7	6	6	2.3	3.75	4	2.5	3	2.5	4.5	-9	4	-9	4.25	-9	31	-9	3	-9	2.66666666666667	-9	3	-9
170	1	1	1987	21	2005	2	2	1	1	0	1	0	0	1	1	0	0	2	1	4	3	4	2	5	4	4	4	1	2	6	7	5	7	7	3.1	4.75	4.25	3.25	3.75	2.5	3.5	-9	2	-9	2	-9	32	-9	3.66666666666667	-9	3.66666666666667	-9	4	-9
171	1	2	1969	39	1987	1	2	1	3	0	1	0	0	1	0	0	0	3	3	3	2	2	3	2	3	2	3	2	3	4	4	4	6	4	2.3	3.5	3.25	3.25	3.75	3.5	3.5	-9	3.5	-9	3.25	-9	22	-9	4	-9	1.66666666666667	-9	3.33333333333333	-9
172	4	2	1989	19	2008	2	1	1	3	0	1	1	1	1	1	1	1	4	2	1	1	3	4	4	5	2	4	1	4	5	6	6	6	3	2.2	3.75	4	2.5	3	4.5	4.75	-9	2.75	-9	4.25	-9	26	-9	3.66666666666667	-9	3.33333333333333	-9	2.33333333333333	-9
173	4	2	1977	31	1995	1	1	1	3	1	0	0	1	1	1	0	0	4	3	5	2	2	2	3	4	5	3	2	3	6	6	6	7	6	2.9	4.25	4	4	2.75	4.25	4	-9	3.25	-9	1.75	-9	31	-9	3	-9	2.66666666666667	-9	2.66666666666667	-9
174	2	1	1984	24	2008	2	1	1	3	1	1	1	1	1	0	0	0	4	2	3	1	2	1	2	4	3	3	2	2	6	6	5	6	7	2.6	4.75	4.5	3.75	3.75	3.75	4.25	4.75	3.25	4.25	2.25	3.25	30	34	4	4	2.66666666666667	3	2.66666666666667	3.66666666666667
175	1	2	1987	21	2006	2	2	1	4	0	1	1	1	1	0	1	0	4	3	2	2	3	4	4	4	1	3	1	4	5	6	5	3	4	1.9	3.5	4	3.75	3.25	3.25	4.25	4	2.75	3.5	4.25	4	23	19	3	1.66666666666667	3	1.66666666666667	3	2.33333333333333
176	4	1	1981	27	1999	2	1	1	3	0	1	1	1	1	1	1	1	3	5	2	2	3	4	1	5	1	4	2	3	7	6	7	7	6	2.2	3.5	3.5	4.75	4.25	3.75	4	-9	4.25	-9	4	-9	33	-9	4	-9	2.33333333333333	-9	3.66666666666667	-9
177	2	1	1978	30	1999	2	1	1	3	0	1	0	0	0	1	0	0	4	3	4	2	3	3	3	4	4	3	2	3	5	5	6	6	6	2.5	4	4	3	3.75	3.75	4	-9	3	-9	2.5	-9	28	-9	3	-9	1.66666666666667	-9	3.66666666666667	-9
178	4	1	1987	21	2006	2	1	1	3	0	1	1	1	1	0	0	0	4	3	2	1	2	1	3	3	2	3	2	2	6	6	6	6	6	1.5	4.75	4.75	4.25	2.5	3.25	4	-9	3.25	-9	2.75	-9	30	-9	3.66666666666667	-9	2.66666666666667	-9	3.33333333333333	-9
179	4	1	1987	21	2007	2	1	1	1	0	1	1	1	1	0	1	0	4	3	2	1	2	3	4	4	2	3	1	3	6	7	7	7	6	1.8	3.75	3.5	3.75	4.25	3.5	4.5	-9	3	-9	3.5	-9	33	-9	3.33333333333333	-9	3.33333333333333	-9	3	-9
180	3	2	1960	48	1990	2	1	1	3	1	1	1	1	1	1	0	0	2	3	1	1	2	2	2	1	2	3	2	1	2	2	3	1	7	3.2	1.5	2.25	2.25	2	2	3	-9	3.5	-9	3	-9	15	-9	1.66666666666667	-9	2	-9	2	-9
181	2	1	1988	20	2007	2	2	2	4	0	1	1	1	1	0	0	1	4	4	3	1	1	5	1	4	2	4	1	5	5	7	6	4	5	3.2	3.75	3.5	4	5	3.25	4.5	-9	4.5	-9	4.25	-9	27	-9	4	-9	4	-9	3.66666666666667	-9
182	4	1	1981	27	1999	2	1	1	3	0	0	1	1	1	1	0	0	4	3	3	2	2	3	3	4	2	4	2	4	5	6	5	3	3	2.6	3.5	4	4.25	4.25	3.75	4	-9	3.5	-9	3.5	-9	22	-9	3.33333333333333	-9	2	-9	2.33333333333333	-9
183	4	2	1983	25	2007	2	2	1	1	0	1	0	1	1	1	1	0	3	2	2	2	2	4	4	4	2	4	2	4	5	6	6	4	5	2.5	4	4.5	3.25	2.5	3.5	3.75	-9	3	-9	4	-9	26	-9	3.33333333333333	-9	2.66666666666667	-9	2.33333333333333	-9
184	2	2	1979	29	1998	2	1	1	3	1	1	1	1	1	1	1	1	4	4	2	1	2	4	3	3	2	3	2	4	4	4	5	3	3	2.6	2.5	3.75	1.75	2.75	4	4	-9	3.5	-9	4	-9	19	-9	3.33333333333333	-9	2.66666666666667	-9	3	-9
185	4	2	1979	29	1998	2	1	1	3	1	1	0	1	1	1	0	0	4	2	3	2	3	3	4	4	3	3	2	3	5	5	4	3	5	2.8	4	4	3	3.75	3.5	4	-9	2.5	-9	3	-9	22	-9	2.66666666666667	-9	1.33333333333333	-9	2.33333333333333	-9
186	2	1	1988	20	2008	2	1	1	3	1	1	1	0	1	0	0	0	3	3	2	2	2	3	2	3	3	4	1	3	2	4	3	5	2	1.6	3.25	3.75	4.5	4	4.25	3.75	-9	3.75	-9	3.25	-9	16	-9	3.66666666666667	-9	3.66666666666667	-9	3	-9
187	3	1	1979	29	1999	2	1	2	1	1	1	1	1	1	1	1	1	2	2	5	2	3	1	3	4	5	3	3	1	3	5	4	3	7	2.8	3.5	4	4.25	4.5	4	3.25	-9	2.75	-9	1	-9	22	-9	2.66666666666667	-9	1.33333333333333	-9	1.66666666666667	-9
